cap_multiplier,window,trades,charged_premium,realised_tail_paid,net_cost_of_insurance,loss_ratio,binding_events,model_prob_binds_mean
2.0,development 2013-2022,120,1001526.7639144757,852479.4459581748,149047.31795630092,0.8511798952094418,6,0.13111183333333334
2.0,OOS 2023-2025,32,216884.94422438822,175425.64737700575,41459.29684738247,0.8088419784247962,2,0.12122765625000001
2.0,full 2013-2025,152,1218411.708138864,1027905.0933351807,190506.61480368336,0.8436434798425533,8,0.12903095394736844
2.5,development 2013-2022,120,766833.5371209823,751050.2080392384,15783.329081743956,0.9794175289450677,6,0.09517470833333333
2.5,OOS 2023-2025,32,168133.174545314,141754.6986212146,26378.475924099388,0.8431096302354651,1,0.0875384375
2.5,full 2013-2025,152,934966.7116662965,892804.906660453,42161.80500584352,0.9549055549467609,7,0.09356707236842104
3.0,development 2013-2022,120,600183.0473645208,649620.9701203019,-49437.922755781095,1.0823714081443474,6,0.07125029166666667
3.0,OOS 2023-2025,32,132980.7870223131,119109.36382526577,13871.423197047334,0.8956885163063456,1,0.06531125
3.0,full 2013-2025,152,733163.834386834,768730.3339455677,-35566.499558733776,1.0485109847084575,7,0.06999996710526317
