period,n,corr,rmse,mae,mean,median,p95,worst,rel_rmse
2013-2016,48,0.9949986368748451,2256.9052055047105,1779.3708671589318,-1405.5797478617353,-1219.151893150252,4432.7515367838005,6410.859919210909,0.17732509686570608
2017-2019,36,0.9929798718387317,3631.990183650425,2853.3930772681115,-2135.1132638565614,-2149.1591208512373,7406.467240210447,9075.853037495184,0.24992546018904105
2020-2022,36,0.9997172301068745,5169.4775447752845,2999.009276120158,-1432.6937954576515,-1515.8245247779269,9418.117832307293,21724.266890316387,0.09813308495344868
2023-2025 OOS,32,0.9973424785835724,3709.2602677588548,3024.2064679942314,-1955.2442500565387,-2153.0916524636323,6867.098440524411,8889.3481698846,0.1852958662649346
