date,atm,wing,ivar,realised
2013-01-02,0.015865744037004796,0.019999134549686187,0.020328608862579863,0.004408956387721794
2013-02-01,0.011629475455449451,0.015093053178887431,0.01462474194276282,0.01565355190450681
2013-03-01,0.017837259592024857,0.02100833466388114,0.023067870372035105,0.007116394627332019
2013-04-01,0.014519052326653532,0.018213486649968677,0.018372328639584285,0.022165807278146286
2013-05-01,0.016805156086479492,0.02067801740220838,0.020724150299547224,0.010657098033357914
2013-06-03,0.020643633072879145,0.024799328861231117,0.0241705651838183,0.027448092785159393
2013-07-01,0.023245088589073513,0.02617988658711693,0.027310644132252888,0.007130883368999623
2013-08-01,0.01313491256522037,0.01663479403040289,0.01663360570532713,0.010252893867887492
2013-09-03,0.025079626982360652,0.028838042939194373,0.02783670398636544,0.010270900409198171
2013-10-01,0.019371008670605584,0.02479619191975726,0.025641007503028477,0.016028550557684953
2013-11-01,0.010829160293352414,0.013948891428516975,0.01457839959150231,0.008150083877748215
2013-12-02,0.01355189581779443,0.018091620286805495,0.019426678286853342,0.009274495283530497
2014-01-02,0.014208675321533602,0.01929434785885823,0.02002698354688505,0.015620985661347007
2014-02-03,0.03355558868022029,0.033237177521309946,0.027556888223822306,0.010824364632968925
2014-03-03,0.01881455974133587,0.023260534600927453,0.025598090779568178,0.010563156417903296
2014-04-01,0.012630976375005596,0.01616081027948534,0.015915160707591483,0.015468410919751803
2014-05-01,0.011873632687887407,0.015437850347593861,0.014702421545530135,0.006791209315707834
2014-06-02,0.01095250993558185,0.012882732057711186,0.01271427702785651,0.004045108842774888
2014-07-01,0.007940278191502139,0.01119099571232326,0.009569367848601507,0.01022250714866077
2014-08-01,0.020504666163412948,0.027708278774706937,0.024640787763141426,0.006983422842810788
2014-09-02,0.010654458384793503,0.014133335788351556,0.013531796742134587,0.012182562094155564
2014-10-01,0.02207550280495282,0.026182899902062805,0.027442244716352957,0.03265900872774721
2014-11-03,0.016578948708470327,0.02138097649782056,0.021520582496944923,0.0031671812151627078
2014-12-01,0.015033525515738501,0.019732924512857478,0.021234555753762298,0.023224373592621094
2015-01-02,0.01966117319411667,0.026912464403961722,0.029459819276140498,0.028437494880758838
2015-02-02,0.027888783900366424,0.034599704379485036,0.037570119107153806,0.010348372537000444
2015-03-02,0.012157143408345507,0.01429324343417501,0.016112871286735508,0.019894073508952285
2015-04-01,0.0199801922854423,0.021663576856678322,0.023159748301841688,0.008343987638336721
2015-05-01,0.012596123739214055,0.014599915475130771,0.015382859750164462,0.009856384114460829
2015-06-01,0.01546204261378015,0.017890118676427733,0.01983912489748829,0.014087668614573372
2015-07-01,0.02086150412687127,0.023679726145707982,0.02515370691071488,0.01326770090041876
2015-08-03,0.013006474868128687,0.015472195017866586,0.016112395654565754,0.08397342363174912
2015-09-01,0.07477978977535761,0.09148449059888031,0.10129989203314306,0.042136017354326115
2015-10-01,0.042808601781927795,0.0458152964915292,0.04996728776819469,0.02017527757562739
2015-11-02,0.014967389819121317,0.01905606076897655,0.019495914686083988,0.019753314972778973
2015-12-01,0.016539357557042635,0.019785681327881048,0.021854474456943402,0.03571696366025701
2016-01-04,0.033011351276305514,0.04072804257961554,0.039313557041088194,0.054845466871344055
2016-02-01,0.03257466889552719,0.03767694506985243,0.04015522614774483,0.03716068929717087
