variant,corr,rmse,mae
A current,0.7118519116759622,56492.92989888343,15378.603394073796
B theory,0.9782771901383049,15722.85687092851,6003.9266932955725
D no hedge,0.7212220029963987,50891.56811656742,19290.052358283414
