entry_date,VS_payoff,A_current_net,B_theory_net,D_no_hedge_net
2013-01-02,13633.660467793536,6425.408310764987,8577.631278759956,1892.25
2013-02-01,-5207.947345075743,-2064.4698305000156,-5838.572427600027,9478.225
2013-03-01,11231.747652748301,4886.1677254500055,11570.784972550045,6206.375
2013-04-01,-5002.160830229807,-3779.0313998999723,-7040.489211799996,10779.8875
2013-05-01,8338.125304852503,-2725.599078465011,11599.239863940013,-2839.55
2013-06-03,-6372.662881224036,2247.658175399988,-7467.677762300017,16438.35
2013-07-01,16499.023122850114,2982.728390215056,18047.688176675052,690.2750000000005
2013-08-01,3286.8099373264386,5256.261803600007,5336.165031250033,-4766.55
2013-09-03,13537.854232790898,6057.987198799986,14627.316571500049,10020.175000000001
2013-10-01,4267.802596877525,-4758.385000299955,9221.793110600018,4605.15
2013-11-01,3015.924674623258,-1880.3743524999607,2774.8808685000413,1342.2000000000003
2013-12-02,6344.293731656434,1577.823224200007,4023.634604849999,6519.0
2014-01-02,1589.9313025496494,4200.356755999984,-1391.6421075,242.5750000000004
2014-02-03,13435.581694563565,-9098.302602000062,29800.734542250015,-26042.899999999998
2014-03-03,11198.915534162094,7918.036412299924,9150.117594199932,17035.0
2014-04-01,-4107.067105720119,357.31125189501415,-4838.273699569986,10719.65
2014-05-01,5771.281998163465,3392.793371999995,4618.04038400001,7726.025
2014-06-02,6201.991056944407,1433.0946605000024,5933.5159252499825,2514.7
2014-07-01,2254.874299478642,1433.6917086750148,909.3917825850147,6423.7875
2014-08-01,13249.392929403586,4367.430912499989,18168.367688000006,4463.225
2014-09-02,471.9636899076698,1411.0225522350147,-724.2062392500031,1529.7875
2014-10-01,-9338.943049289817,-6378.565529395008,-10090.077615334973,16737.7125
2014-11-03,14780.895877533878,6543.721552749969,13244.034859249934,6104.775
2014-12-01,-6184.873527455819,-2795.9451005400183,-6316.872303350009,11930.0
2015-01-02,-5548.574098219297,2142.4090760300687,-6552.196977999946,9421.725
2015-02-02,23786.48997720076,6003.752582079953,25411.800786079955,14153.7625
2015-03-02,-5329.784646607877,4279.392116774954,-6267.746282245064,10354.475
2015-04-01,13364.700596229934,7706.956911049968,12239.489656834967,11054.625
2015-05-01,1843.2179048327966,1656.3245042499761,1319.222393499967,9619.3875
2015-06-01,2325.295605153776,5453.814714360025,1487.4850034800365,7797.275
2015-07-01,6956.927330572973,4277.738786499972,6081.5369829999745,16587.4
2015-08-03,-66903.51397079183,-7616.331206500008,-80211.49963999997,-53465.55
2015-09-01,37113.164607680344,30433.944853999972,32739.359450499887,72470.6
2015-10-01,19022.40352510025,-4999.707256000029,64843.93224649993,-6086.6375
2015-11-02,2805.0195176101583,3774.9433225199928,-228.60844792998148,12281.025
2015-12-01,-18375.095215116242,-939.1169015099852,-16791.26112252997,15801.225
2016-01-04,-19178.296722829487,3003.394004069948,-22803.987639450053,1906.7249999999997
2016-02-01,-7438.438403939255,-668.8260748400206,-8287.747272740049,20962.2375
2016-03-01,16985.963131685334,5091.6333204200455,20120.545513940033,8983.699999999999
2016-04-01,3365.1719614073304,2167.1463485999907,1723.5714000250064,8940.675
2016-05-02,7896.524855756145,7971.538454059981,6391.9916266399805,15690.3375
2016-06-01,-18415.670333486974,-6120.312511875027,-20235.549345075047,12252.9875
2016-07-01,10019.03490392185,1681.827834610028,12361.153906080022,6661.549999999999
2016-08-01,9543.725038512559,7604.227631909983,7948.159930199981,10938.95
2016-09-01,-6659.206951853802,-876.2019192800053,-6420.202236419984,13223.025
2016-10-03,11085.07571510566,12140.43950099998,9454.97350749998,11207.25
2016-11-01,17240.94571429372,2864.050668319966,22136.85430561995,10353.7625
2016-12-01,6887.356432362629,46.66094899999255,15748.138025999984,-1317.5749999999996
2017-01-03,7918.093029194816,6140.90000250001,6945.440399000012,9146.05
2017-02-01,4106.0732398828295,-1984.9727599999974,20580.64121050001,-6545.075
2017-03-01,6718.557986840346,10186.756741000021,6088.730836000027,8652.75
2017-04-03,8729.913611162998,3139.97341850001,5863.69461300002,8993.625
2017-05-01,3177.6110889016995,-527.1647220000248,-3198.6114460000285,1630.4000000000005
2017-06-01,3604.147534222545,3789.347462000016,2380.4069374999976,6693.95
2017-07-03,8053.482946680229,967.2191825000027,1396.5437860000222,1258.975
2017-08-01,-1164.3940142212361,1687.7818670000056,-2081.696938499985,6091.375
2017-09-01,4318.219388444577,2243.389628999996,3850.4782694999935,5371.625
2017-10-02,5944.433723187496,-2880.547234499978,-964.3298599999939,-1798.0624999999998
2017-11-01,4494.654223261782,1662.4136975000024,3928.2293659999577,3184.925
2017-12-01,9024.993184989777,5280.001405000005,6844.289947000034,6496.3
2018-01-02,1102.036125696631,-5809.268358000065,34823.81464399999,1487.9875000000002
2018-02-01,-63250.4138011341,-27061.10677399987,-61577.67980249978,-7918.325
2018-03-01,1353.9163706401332,-726.5435725000253,-3921.0853169999637,25957.774999999998
2018-04-02,17741.500553785154,11610.37828500007,6631.834842000123,21673.9875
2018-05-01,10975.91335103992,1340.0885085000368,8032.217180500019,10012.525
2018-06-01,6307.443869803932,8062.560746500043,5951.414895500018,12136.5
2018-07-02,11654.656167931511,2738.2122015000004,13699.02630599997,11842.325
2018-08-01,10793.666785858315,-1188.9913689999305,13724.759076500095,3987.1499999999996
2018-09-04,9216.12654651626,6945.640513999998,7778.524834500002,10115.325
2018-10-01,-42785.13448970929,-39448.24246250002,-42040.15579800006,-113675.7
2018-11-01,-3009.3410635471455,-865.4462789999184,-3799.6931624999092,29810.275
2018-12-03,-76430.80521355702,33957.53731900024,-73676.14341299987,-126636.25
2019-01-02,6239.230012031555,-3652.89586949998,20486.422648000018,321.6
2019-02-01,11744.42898171384,2294.498583999925,11120.660555999886,5795.8625
2019-03-01,-1199.5767142999914,2210.331500499976,-3129.997721500049,5870.200000000001
2019-04-01,10933.250327961056,4569.160546999973,9309.643720999982,4740.049999999999
2019-05-01,-7321.868065017729,-1940.5947859998944,-6384.379693999893,-14794.9125
2019-06-03,14065.83584630597,-2255.7545274999634,45470.161519500216,-11553.925000000001
2019-07-01,8294.771276782642,5781.794653000019,7615.256706999996,8571.2875
2019-08-01,-29914.993189614717,-13476.321283500063,-29978.614345500035,17267.9
2019-09-03,18440.598813229775,15334.85687800002,14987.878194999968,27356.2625
2019-10-01,11990.713559884032,7007.346630499966,12129.436529999919,13350.925
2019-11-01,8203.063709511047,7869.3862924999885,8275.28933799995,8276.7625
2019-12-02,14285.855735854579,4948.900444999919,16029.043773499972,7456.4625
2020-01-02,-671.0571690634066,1076.9966960000315,-1561.2507139999666,7737.125
2020-02-03,-65214.88474387711,-32142.149154499908,-68860.03212099987,-16121.15
2020-03-02,-763084.2971656268,-108430.60706999975,-774834.5174419996,-262508.4875
2020-04-01,115210.5027314336,23809.502745499885,271172.61946299963,10883.024999999996
2020-05-01,65457.34728879113,42082.709878500136,89228.92764250017,50356.2125
2020-06-01,-20279.934445257193,-3618.4257384998464,-24390.533548999843,60331.1375
2020-07-01,45629.56786389165,20277.54520399987,50060.6379539999,41865.7875
2020-08-03,34538.733749014384,9515.354219000043,51029.26622950002,15245.775
2020-09-01,-7430.116970231527,56718.934179499935,-6564.516686500114,25582.1
