variant,sharpe_all,flat_sharpe_all,edge_all,sharpe_ex,flat_sharpe_ex,edge_ex,ronn_all,ronn_ex,edge_ronn_ex,worst_all,maxdd_all,exposure_2020_03
BASELINE,0.1462570522493577,0.1462570522493577,0.0,1.3547847368957833,1.3547847368957833,0.0,0.3686038273735839,1.1816180327482906,0.0,-732061.4405409676,0.8130142053747063,1.0
A1_inverse_variance,0.32724068044439336,0.1462829997047632,0.18095768073963017,0.9607980958013864,1.3548814921382717,-0.39408339633688527,0.31116424075402566,0.5831919652210521,-0.5984834292809392,-183023.16925858034,0.2971145403350729,0.25
A2_inverse_vol,0.23751648546121987,0.1462764502320693,0.09124003522915056,1.240843268201469,1.3548483060615684,-0.11400503786009941,0.31746308300842935,0.7479962186171337,-0.43366347644025194,-327578.4282075043,0.4374373268114271,0.44747974502805465
C1_evrp_positive,0.11751545556836386,0.1461981993252453,-0.028682743756881443,1.3438663816926733,1.3546389636792497,-0.01077258198657649,0.4409525864345338,1.6746659790649407,0.4931847500862705,-732061.4405409676,1.2195213080620595,1.0
C2_evrp_buffer,-0.022145508000467908,0.1429462311841593,-0.16509173918462722,0.946493029520003,1.3459395302300858,-0.3994465007100828,-0.24038393930512042,3.0769637075108927,1.903621134188444,-732061.4405409676,3.2946029762778,1.0
C3_evrp_continuous,-0.08437811651425944,0.14419679425738757,-0.22857491077164702,0.9199301662587692,1.3492797299736259,-0.42934956371485666,-1.1073512832703447,3.1258320152351584,1.949360171261627,-1098090.2085306176,4.104647457488681,1.5
D_term_structure,0.32884992091022675,0.14627539530760322,0.18257452560262352,1.354183704368976,1.354838839745256,-0.000655135376280036,0.5650012586216652,1.1066672289728487,-0.07499375423473076,-428593.2330075994,0.5445327868232697,0.5854596386419402
E1_put_share,0.17964052997018845,0.14628870873805241,0.033351821232136036,1.3305803569679497,1.3548910550945055,-0.02431069812655573,0.3937866851742444,1.1036876074065747,-0.07800210151289,-551956.0703596802,0.7107196953638363,0.7539753216500342
E2_deep_downside,0.3858049346299134,0.14627753876277047,0.23952739586714292,1.2589716129260025,1.3548759310387024,-0.09590431811269995,0.430669071895918,0.7901255155168863,-0.3915387417773375,-220911.09640276027,0.3623842598477279,0.30176121585745463
E3_skew_wedge,0.3391970804583834,0.1462916030260499,0.19290547743233352,1.2638163958426758,1.3548903509665664,-0.0910739551238906,0.5907395070734718,1.1149484246237795,-0.0667471083735669,-405678.2158935876,0.5288174391919657,0.5541621186471282
E4_down_up_ratio,0.12949981638387661,0.14629471260803237,-0.016794896224155753,1.3474252143592418,1.3549070496748499,-0.0074818353156080875,0.364036358381955,1.2770165500099162,0.09531193590691611,-732061.4405409676,0.9104291054174389,1.0
F1_carry_per_vol,0.04033607688699332,0.14624494094047574,-0.10590886405348243,1.1480727271684865,1.3547962399573974,-0.20672351278891088,0.20957599873352986,1.9441262711800738,0.7625188797555531,-1098090.2085306176,1.6986554753799687,1.5
F2_carry_per_tail,0.01936406921416838,0.14618382963729504,-0.12681976042312665,1.0687476069175255,1.354621934851621,-0.2858743279340956,0.10721223780685195,1.9565496154574114,0.7750978902896037,-1098090.2085306176,1.8087236623504455,1.5
