strategy,gross_edge,option_spread_cost,option_commissions,hedge_slippage,total_costs,financing,net_edge,costs_as_share_of_gross,mean_contracts_per_trade,mean_shares_traded,median_leg_spread,median_leg_relative_spread
naked,246122.0590747139,123793.87499999994,28698.800000000003,36496.79214930703,188989.46714930696,-11721.076756572638,45411.5151688343,0.7678688690473554,183.96666666666667,23310.425833993646,0.04500000000000015,0.011237953831555111
wing10,241031.5243982118,296303.9999999999,102377.59999999999,46171.54335875707,444853.14335875696,-11313.014268809953,-215134.63322935504,1.8456222457598883,656.2666666666667,29611.061838294358,0.03499999999999992,0.022878882768848453
wing15,288807.0357148176,424372.4999999999,138746.4,49697.66220742691,612816.5622074269,-11856.59483723944,-335866.1213298486,2.1218893116321182,889.4,31913.401604847368,0.03500000000000002,0.01825697149408727
