strategy,window,trades,net_pnl,annualised_return_on_reference_capital,sharpe,nw_t,max_dd,worst_trade,es95,skew,kurtosis,hit_rate,costs,financing,gross_pnl,mean_theta_per_day,mean_dollar_gamma,mean_vega_dollars,mean_contracts,hedge_turnover_shares,gamma_capped_share,theta_pnl,gamma_pnl,vega_pnl,delta_pnl,max_reconciliation_error
naked,2023-01-01 to 2025-08-29,32,-101775.49641217198,-0.039504250865617235,-0.41772654736195813,-0.8090767548834067,196275.77652122133,-135023.52658655707,-78644.53411846471,-4.194834663283626,21.26587887522598,0.53125,27357.68436021971,-30238.109096655346,-44179.70295529693,1332.1980124204424,-43953042.8839164,-5232.30921250563,93.0,391811.3098390194,1.0,1026126.5374058122,-1047587.3418394822,-178182.40965784073,38895.202955296525,4.547473508864641e-12
wing10,2023-01-01 to 2025-08-29,32,-153551.17066552315,-0.059601025595730425,-1.1163376057519008,-1.6953304156328153,240824.97314036055,-45427.460397993076,-35871.785766421985,-0.22473641242061865,0.6291608673210827,0.3125,55279.68020059737,-26219.270053245793,-72052.22041167997,1211.6173568480954,-44187696.2986099,-5152.591346441021,327.5,468583.12905676756,1.0,849897.0174233487,-959397.1945038672,-146775.48960023356,-145136.7795883219,7.275957614183426e-12
wing15,2023-01-01 to 2025-08-29,32,-169229.2643742748,-0.06568649183071612,-1.221603036864633,-1.7795740349741143,255300.9187366907,-28872.268955883836,-28785.175253930047,0.30465095755523114,-0.5319709633365939,0.25,73349.6161163375,-24450.54810580108,-71429.10015213619,1222.1653670433466,-44235666.879136525,-5192.639375022092,442.0,495963.82952853385,1.0,834407.8200463487,-952242.1779732434,-170429.38408106778,-187830.39984786866,9.094947017729282e-12
