strategy,trades,active,net_pnl,mean_pnl,sharpe,max_dd,worst_trade,best_trade,es95,skew,kurtosis,hit_rate,costs,financing,option_pnl,hedge_pnl,shares_traded,nw_t,mean_theta_per_day,mean_dollar_gamma,mean_vega_dollars,mean_contracts,gamma_capped_share,mean_days_held
naked,120,120,45411.5151688343,378.4292930736192,0.03547669849046143,480736.2591327857,-302734.4751872243,81763.58277085863,-96472.582365369,-4.572559791754076,37.87074401831665,0.575,188989.46714930696,-11721.076756572638,-265331.49999999977,511453.55907471356,2797251.1000792375,0.1201963823626885,1560.0297898000524,-43868035.824322656,-5400.14808204163,183.96666666666667,0.9666666666666667,17.375
wing10,120,120,-215134.63322935504,-1792.7886102446253,-0.2066730503805325,413539.3644500809,-106305.14447589667,98059.8401296625,-75322.2929887575,-0.1565250146757,2.8432635538214184,0.4666666666666667,444853.14335875696,-11313.014268809953,-772049.0,1013080.5243982119,3553327.4205953227,-0.6392875938983986,1409.8531938535684,-43889532.94810728,-5350.790196074344,656.2666666666667,0.95,17.375
wing15,120,120,-335866.1213298486,-2798.884344415405,-0.2909698626378126,509783.44722637674,-133223.46970201418,104542.389329615,-87016.87426292479,-0.3895048926439157,3.8683428120033385,0.43333333333333335,612816.5622074269,-11856.59483723944,-915030.9999999995,1203838.0357148172,3829608.1925816843,-0.8612256765650057,1410.9019786147394,-43845082.290614635,-5397.531311824337,889.4,0.9416666666666667,17.375
